Code INSEE,Année,Nombre incendies,Surface parcourue (km2)
04051,2017,1,0.0287
04051,2022,1,0.0063999999999999994
04053,2013,1,0.00047
04053,2016,2,0.0007
04053,2018,1,0.0127
04053,2020,1,9.999999999999999e-06
04053,2022,1,5.9999999999999995e-05
04054,2007,1,0.00019999999999999998
04054,2011,1,0.0018
04055,2015,1,0.0477
04057,2017,2,0.006
04057,2019,2,1.9999999999999998e-05
04058,2012,1,0.0014
04059,2011,1,0.002
04059,2019,1,1.9999999999999998e-05
04061,2007,1,0.04
04061,2010,1,0.00019999999999999998
04061,2015,1,0.0005
04061,2022,1,0.10569999999999999
04062,2012,1,0.00015
04063,2010,1,0.001
04063,2011,1,0.0007
04063,2017,1,0.0014
04063,2018,1,0.0028
04063,2019,1,0.00015
04063,2023,1,0.005399999999999999
04065,2006,1,0.01
04065,2010,1,0.00031999999999999997
04065,2015,1,7e-06
04065,2017,1,0.044199999999999996
04066,2009,1,0.023
04068,2007,1,0.0015
04068,2016,2,0.00017999999999999998
04068,2017,1,0.0007
04068,2020,1,0.0021
04068,2023,1,9.999999999999999e-06
04069,2019,1,0.00019999999999999998
04069,2023,1,0.0048
04070,2006,1,0.0006
04070,2009,1,0.00019999999999999998
04070,2010,2,0.0026
04070,2011,1,0.0010999999999999998
04070,2012,2,0.08429999999999999
04070,2013,3,0.0005049999999999999
04070,2014,1,0.00010999999999999999
04070,2015,1,0.0006
04070,2016,2,0.001
04070,2017,10,0.175514
04070,2018,1,0.0005
04070,2019,3,0.003263
04070,2020,6,0.08389999999999999
04070,2021,3,0.0411
04070,2022,1,0.0043
04072,2009,2,7.999999999999999e-05
04072,2020,1,0.0117
04073,2015,1,0.0072
04074,2019,1,0.09899999999999999
04075,2008,3,0.20299999999999999
04075,2011,1,0.00062
04075,2023,1,0.000909
04076,2006,2,0.03
04076,2009,1,0.024
04076,2014,1,0.0109
04076,2016,2,0.0136
04076,2017,1,0.02
04076,2019,2,1.1999999999999999e-05
04076,2023,2,0.0336
04077,2013,1,0.0171
04077,2017,1,0.030299999999999997
04077,2018,1,0.00033999999999999997
04077,2019,1,0.000212
04077,2020,1,1.4999999999999999e-05
04079,2009,1,0.00015
04079,2015,1,0.01
04079,2016,2,3.9999999999999996e-05
04081,2009,1,9.999999999999999e-05
04081,2011,1,0.003
04081,2014,1,0.00041999999999999996
04081,2016,2,0.0007
04081,2017,2,0.00765
04081,2018,2,0.00016399999999999997
04081,2019,2,0.0086
04081,2020,1,0.0025
04081,2022,1,0.0019
04081,2023,1,0.0007
04084,2009,1,0.0047
04084,2012,1,1.9999999999999998e-05
04084,2015,1,0.005699999999999999
04084,2020,1,0.0103
04086,2009,1,9.999999999999999e-06
04086,2022,1,0.09699999999999999
04087,2011,1,3.9999999999999996e-05
04087,2014,1,4.1e-05
04087,2017,1,0.00021999999999999998
04087,2020,1,7e-05
04088,2011,1,0.00028
04088,2013,1,2e-06
04088,2014,1,0.0033
04088,2016,2,0.00023999999999999998
04088,2017,4,0.0029
04088,2020,2,0.00099
04088,2022,1,0.01
04090,2011,1,0.034999999999999996
04090,2022,1,0.22119999999999998
04091,2010,1,0.019
04092,2006,1,0.0005
04092,2019,1,0.00019999999999999998
04093,2011,1,0.01
04093,2012,3,0.224
04093,2019,1,0.0009
04094,2007,2,1.762
04094,2009,3,0.04779
04094,2010,2,2.2999999999999997e-05
04094,2012,2,0.0023
04094,2014,2,0.002584
04094,2015,1,0.0007999999999999999
04094,2016,8,0.02276
04094,2017,4,0.000207
04094,2019,1,0.0163
04094,2020,4,0.08214099999999999
04094,2021,1,0.0169
04094,2022,3,0.0041259999999999995
04094,2023,1,0.004153
04095,2022,1,0.009
04096,2008,1,0.001
04096,2011,1,0.01
04096,2023,1,0.000183
04097,2014,1,0.052
04097,2017,6,0.00264
04097,2021,1,0.0005
04099,2009,1,0.0012799999999999999
04099,2023,1,0.6299
04100,2012,1,0.01
04101,2013,1,0.0026999999999999997
04101,2018,1,1.4999999999999999e-05
04102,2017,1,0.00039999999999999996
04102,2018,2,0.00051
04102,2020,1,0.0010999999999999998
04102,2022,2,0.0003
04104,2009,1,0.0017
04104,2010,1,0.0034
04104,2014,1,0.0106
04104,2022,1,0.002
04106,2011,1,0.00033999999999999997
04106,2020,1,0.0246
04107,2012,1,0.011
04108,2010,1,0.011
04108,2012,1,0.0007999999999999999
04108,2015,2,0.0018
04108,2017,1,0.0017
04108,2018,1,0.00028
04109,2007,2,0.020300000000000002
04109,2009,1,0.013999999999999999
04109,2012,1,0.037
04109,2014,1,2.7e-05
04109,2015,1,0.0159
04110,2022,1,0.0024
04111,2006,2,0.011
04111,2010,1,0.0006
04111,2012,1,0.009
04111,2015,1,0.00028
04111,2019,1,0.00035
04111,2021,1,0.0043
04112,2012,3,0.021900000000000003
04112,2014,2,0.00831
04112,2015,2,0.006999999999999999
04112,2016,6,0.07064
04112,2017,4,0.004200000000000001
04112,2018,2,6.9e-05
04112,2019,5,0.00407
04112,2020,2,0.025289999999999997
04112,2021,1,0.001
04112,2022,2,0.00085
04112,2023,1,0.0009
04113,2010,1,0.0003
04113,2017,3,0.02871
04113,2019,1,0.2878
04113,2021,1,0.0060999999999999995
04115,2016,2,0.0146
04116,2009,1,0.07619999999999999
04116,2010,1,0.0015
04116,2020,1,0.021599999999999998
04118,2020,2,3.2e-05
04120,2017,1,0.7671
04121,2009,1,0.0073
04121,2016,2,0.0018
04121,2017,2,0.00015
04121,2019,1,0.00025
04121,2020,1,0.0015
04122,2012,1,0.0013
04122,2015,1,0.0015
04122,2023,1,9.999999999999999e-06
04123,2014,1,0.0031
04123,2016,2,0.0018
04123,2017,1,0.043699999999999996
04124,2014,1,0.01
04124,2015,4,0.003159
04124,2016,2,8.2e-05
04124,2017,2,0.00013199999999999998
04126,2015,2,0.0029
04126,2022,1,9.999999999999999e-05
04127,2012,1,0.0087
04127,2014,1,0.00047999999999999996
04127,2015,1,0.0021
04127,2017,1,0.0014
04127,2018,1,8e-06
04128,2006,1,0.18
04128,2007,1,0.01
04128,2012,2,0.0495
04128,2016,6,0.002216
04128,2022,1,0.0021999999999999997
04129,2022,1,1.9999999999999998e-05
04130,2015,1,2.6e-05
04130,2020,1,0.0028
04132,2018,1,0.0065
04133,2014,1,1.4999999999999999e-05
04133,2019,2,0.04135
04134,2013,1,7e-06
04134,2017,1,0.0043
04134,2020,1,0.00013
04134,2021,2,0.00832
04135,2011,2,0.033
04135,2012,1,9.999999999999999e-05
04135,2013,1,0.0021999999999999997
04135,2015,1,0.0009
04135,2017,1,2.2045
04135,2018,4,0.002503
04135,2019,1,0.0404
04135,2020,2,0.0006199999999999999
04135,2022,1,0.0015
04135,2023,1,0.0162
04136,2011,2,0.000789
04136,2017,2,0.0035
04136,2021,1,0.0153
04136,2022,1,0.0182
04138,2009,1,0.0007
04138,2011,1,0.00025
04139,2013,1,0.0003
04139,2017,1,0.1523
04139,2019,2,0.0017000000000000001
04139,2022,1,0.0005
04140,2006,3,0.55153
04140,2013,1,2.9999999999999997e-05
04140,2016,2,6e-06
04140,2019,1,0.0078
04141,2009,1,0.0015
04141,2019,1,0.0007999999999999999
04141,2022,2,0.0053
04142,2018,1,0.0015999999999999999
04143,2006,1,0.01
04143,2009,1,0.0006
04143,2010,1,0.0005
04143,2018,1,0.0006
04143,2019,1,2e-06
04143,2020,1,1.9999999999999998e-05
04144,2008,1,0.015
04144,2010,1,0.008199999999999999
04144,2012,1,0.04
04144,2019,2,0.15259999999999999
04144,2021,2,0.00022399999999999997
04145,2008,1,0.011
04148,2007,1,0.09999999999999999
04148,2011,1,0.019799999999999998
04148,2014,1,0.04
04148,2017,3,0.1731
04149,2012,2,0.00041999999999999996
04149,2017,1,9.999999999999999e-06
04149,2018,1,0.0075
04149,2022,2,0.01398
04149,2023,1,2.9999999999999997e-05
04151,2020,1,0.0083
04151,2021,1,0.0031999999999999997
04152,2010,1,0.005
04152,2016,4,0.000474
04152,2017,3,0.0007099999999999999
04152,2018,2,0.00146
04152,2019,1,1.9999999999999998e-05
04152,2020,1,7e-06
04152,2021,3,0.009229999999999999
04152,2022,3,0.001051
04154,2013,1,4e-06
04155,2009,1,0.001
04155,2012,1,0.003
04155,2015,1,0.006999999999999999
04155,2016,2,0.0003
04155,2019,1,1.264
04155,2023,2,0.15902899999999998
04156,2012,1,0.264
04157,2017,1,0.0013
04157,2021,1,0.0005
04158,2017,1,0.006
04159,2009,1,0.001
04159,2012,1,0.037
04159,2017,1,0.0059
04160,2010,1,0.003
04160,2017,3,0.07950399999999999
04160,2019,1,3e-06
04161,2011,1,0.009
04161,2013,1,0.0026
04161,2019,1,0.0005
04161,2020,1,1.9999999999999998e-05
04161,2021,1,0.001
04162,2017,1,0.016999999999999998
04162,2018,1,1.9999999999999998e-05
04162,2019,1,0.0014
04162,2022,1,0.0118
04163,2012,1,0.297
04163,2013,1,0.005699999999999999
04163,2014,1,0.0014
04163,2018,1,0.0007999999999999999
04166,2006,1,0.02
04166,2009,1,0.0017
04166,2011,2,0.002
04166,2012,1,0.01
04166,2015,2,0.013099999999999999
04166,2018,1,4e-06
04166,2019,1,1.9999999999999998e-05
04166,2021,3,0.0010199999999999999
04166,2022,1,0.0025
04167,2006,1,0.105
04167,2017,1,0.0017
04169,2019,1,0.0144
04169,2023,1,1.9999999999999998e-05
04170,2007,1,0.01
04170,2020,1,0.0588
04170,2022,1,0.8671
04170,2023,1,0.4432
04171,2017,2,0.13565
04171,2019,1,4.9999999999999996e-05
04171,2022,1,8.444899999999999
04172,2013,1,0.0013
04172,2018,1,0.0201
04172,2019,2,0.00033
04172,2021,1,0.0005
04172,2022,2,0.0007
04173,2012,1,8e-06
04173,2017,1,9.999999999999999e-06
04173,2018,1,0.00033999999999999997
04173,2019,1,0.002
04173,2022,1,0.00025
04174,2015,1,0.001
04174,2017,2,1.0477999999999998
04174,2020,1,0.00015
04174,2021,1,0.00019999999999999998
04175,2019,1,0.00043999999999999996
04176,2010,1,0.0003
04176,2012,1,0.036
04176,2017,3,0.00022199999999999998
04176,2019,1,9.999999999999999e-05
04176,2020,2,0.0028
04176,2021,1,0.00019999999999999998
04176,2023,1,9.999999999999999e-05
04178,2009,3,0.12655
04179,2012,1,0.02
04179,2017,1,1.2e-05
04179,2022,2,0.21459999999999999
04180,2016,2,0.0208
04181,2007,1,0.02
04181,2012,1,0.023
04181,2023,1,0.0007
04182,2006,2,0.05499999999999999
04182,2017,1,0.0188
04182,2018,1,4.9999999999999996e-06
04183,2021,1,0.0029
04184,2008,1,0.002
04184,2011,1,0.002
04184,2019,1,0.0078
04186,2007,1,0.015
04186,2015,1,0.0015
04186,2017,1,0.0019
04187,2017,1,2.9999999999999997e-05
04187,2022,1,0.00015
04188,2013,1,0.00035
04188,2016,2,0.0178
04188,2017,1,0.00017999999999999998
04189,2008,1,0.015
04189,2012,1,0.01
04189,2016,2,0.00011999999999999999
04189,2020,1,0.0003
04190,2015,1,0.0147
04190,2016,2,9.999999999999999e-06
04190,2017,1,0.00039999999999999996
04191,2019,1,0.004
04192,2010,1,0.003
04192,2011,1,0.011
04192,2015,1,0.0019
04192,2017,1,0.0018
04193,2016,4,0.16206
04193,2020,1,4e-06
04194,2015,1,0.20479999999999998
04194,2023,1,0.0066
04195,2011,2,0.0005
04195,2012,1,0.015
04195,2016,2,0.00039999999999999996
04195,2021,2,5.099999999999999e-05
04195,2022,1,9.999999999999999e-05
04197,2014,1,0.0436
04197,2017,1,0.001
04197,2019,1,2.8e-05
04198,2009,1,7.999999999999999e-05
04198,2019,1,0.0009
04199,2017,1,0.00019999999999999998
04199,2020,1,0.3514
04200,2012,1,0.009
04200,2018,1,0.00033999999999999997
04200,2020,1,0.00029
04201,2021,1,0.0029
04202,2007,1,1.4
04203,2020,1,1e-06
04204,2010,1,0.0006
04204,2011,1,0.015
04204,2019,2,0.2119
04204,2020,1,0.006
04204,2022,1,0.0017
04205,2009,1,0.00021999999999999998
04205,2011,1,0.0015
04205,2016,2,0.0015999999999999999
04205,2020,2,0.004201
04206,2012,1,0.0021999999999999997
04206,2017,4,0.0005799999999999999
04206,2018,1,0.0007999999999999999
04206,2019,1,3.9999999999999996e-05
04206,2022,1,0.0019
04207,2016,2,0.0596
04208,2009,1,0.0005
04208,2012,2,0.014
04208,2014,1,0.0034999999999999996
04208,2015,1,5.1e-05
04208,2018,1,0.008
04208,2019,1,0.001
04208,2020,1,0.0019
04208,2022,2,0.05059999999999999
04209,2009,1,0.006
04209,2012,4,0.012549999999999999
04209,2017,3,0.01891
04209,2019,3,0.022709999999999998
04209,2021,3,0.00112
04209,2022,3,0.06399999999999999
04210,2006,1,0.02
04210,2020,1,0.0003
04210,2022,1,0.0015
04211,2006,1,0.003
04211,2011,1,0.023
04211,2017,1,0.0014
04214,2009,3,0.037840000000000006
04214,2012,1,1.05
04214,2021,1,0.0287
04216,2017,1,0.0496
04217,2006,2,0.052
04217,2013,1,0.1356
04217,2015,1,0.005399999999999999
04217,2017,2,0.008199999999999999
04217,2018,2,0.0021999999999999997
04217,2019,1,0.0121
04217,2021,1,0.0073
04217,2023,2,0.00242
04218,2009,5,0.004
04218,2017,2,0.1167
04218,2023,1,0.002
04219,2010,1,0.0015999999999999999
04219,2016,2,0.0003
04219,2018,1,3.9999999999999996e-05
04222,2020,1,0.0005
04224,2016,2,1.9999999999999998e-05
04224,2018,1,0.0018
04224,2019,1,0.0286
04227,2009,1,0.0048
04227,2013,1,0.00041999999999999996
04227,2017,1,0.00035999999999999997
04227,2021,1,3.9999999999999996e-05
04227,2023,1,0.006
04229,2012,1,0.06799999999999999
04230,2007,7,0.477
04230,2008,1,0.001
04230,2009,1,0.00039999999999999996
04230,2012,1,0.0229
04230,2014,1,0.000521
04230,2015,2,0.006999999999999999
04230,2017,2,0.00305
04230,2018,2,0.00648
04230,2019,1,0.0007
04230,2020,1,0.0010999999999999998
04230,2022,1,4.6e-05
04231,2016,2,0.012799999999999999
04233,2019,3,0.00612
04233,2022,1,0.010199999999999999
04234,2009,1,2.9999999999999997e-05
04234,2012,1,0.0012
04235,2007,1,0.0015
04235,2009,1,0.002
04236,2008,1,0.001
04236,2012,1,0.0009
04236,2018,1,2e-06
04240,2023,1,0.0423
04241,2015,1,0.0050999999999999995
04241,2017,1,9.999999999999999e-06
04242,2009,1,0.0007
04242,2010,1,9.999999999999999e-05
04242,2012,1,0.00019999999999999998
04242,2018,3,0.00341
04242,2021,2,0.005299999999999999
04242,2022,2,2.3722999999999996
04244,2007,1,0.005
04244,2009,1,0.005
04244,2012,1,9.999999999999999e-06
04244,2014,1,0.00015
04244,2015,1,0.0178
04244,2016,2,0.0258
04244,2017,1,0.0034
04244,2018,1,0.00022999999999999998
04244,2019,1,0.00019999999999999998
04245,2007,1,0.027
04245,2011,1,0.0007
04245,2016,2,8.2e-05
04245,2022,1,9.999999999999999e-05
05003,2011,1,0.04
05003,2021,1,4.9999999999999996e-06
05003,2022,1,0.0065
05004,2022,1,0.339545
05006,2019,1,3e-06
05007,2012,1,0.00019999999999999998
05008,2021,1,0.0033
05009,2011,1,0.5499999999999999
05009,2017,1,0.0223
05010,2006,1,0.04
05010,2023,2,0.00203
05011,2017,1,0.0015
05011,2022,1,0.0059
05013,2019,4,0.0139
05013,2020,1,0.0003
05013,2023,2,0.00215
05016,2017,1,0.0288
05016,2022,1,0.00018999999999999998
05017,2012,1,0.0224
05017,2014,2,0.07999999999999999
05017,2015,1,0.01
05017,2020,1,0.00039999999999999996
05017,2021,1,0.041499999999999995
05018,2010,1,0.01
05018,2012,1,9.999999999999999e-05
05020,2021,1,0.0005
05022,2013,1,0.03
05022,2019,1,0.00089
05022,2021,1,0.0112
05022,2022,1,0.0096
05023,2012,1,0.001
05023,2017,2,0.0184
05023,2018,3,0.00394
05023,2020,1,0.004399999999999999
05023,2022,1,0.002835
05023,2023,3,0.00030599999999999996
05024,2012,1,0.39999999999999997
05024,2022,1,0.003091
05027,2006,1,0.005
05027,2018,1,0.0006
05031,2017,1,3.4e-05
05031,2021,1,0.004
05033,2012,1,0.2233
05033,2017,1,0.0013
05033,2022,1,2.4999999999999998e-05
05033,2023,1,1.3454
05034,2021,1,2e-06
05036,2017,1,0.030799999999999998
05036,2022,1,0.034999999999999996
05036,2023,2,7.999999999999999e-05
05037,2018,2,0.015019999999999999
05038,2017,1,0.2339
05039,2022,3,0.001148
05040,2020,1,0.01
05040,2021,1,3.9999999999999996e-05
05040,2022,1,0.0042
05044,2017,1,0.0144
05045,2022,3,0.00983
05045,2023,1,0.2504
05046,2011,1,0.015
05046,2017,1,0.00039999999999999996
05046,2021,3,0.00053
05046,2022,2,0.007215999999999999
05047,2022,1,0.010499999999999999
05048,2007,1,0.01
05050,2013,1,0.00039999999999999996
05050,2022,1,0.0005
05052,2021,2,0.00045
05052,2022,1,0.0006
05052,2023,1,1.4999999999999999e-05
05055,2012,1,0.003
05055,2017,1,0.0043
05055,2020,2,0.6286499999999999
05055,2022,1,0.002
05058,2022,1,0.0007999999999999999
05060,2022,2,0.000483
05061,2008,1,0.01
05061,2012,1,0.0015
05061,2017,2,0.008671
05061,2019,1,0.0007999999999999999
05061,2021,2,0.0106
05061,2023,2,0.000658
05065,2022,1,0.003724
05067,2021,1,4.9999999999999996e-06
05068,2023,1,0.0007
05070,2006,1,0.06
05070,2010,1,0.015
05072,2022,1,3.5e-05
05073,2021,1,0.003
05073,2022,1,0.0029
05077,2021,1,0.055
05079,2018,1,4e-06
05080,2017,1,0.0121
05080,2019,1,0.0015
05081,2016,2,0.053599999999999995
05085,2007,1,0.005
05085,2023,1,0.0006
05087,2023,1,0.0006
05088,2011,1,0.024999999999999998
05089,2007,1,0.0003
05090,2021,2,0.00525
05090,2022,1,0.44642699999999996
05091,2017,1,0.0050999999999999995
05093,2012,1,0.00019999999999999998
05093,2023,1,1e-06
05095,2015,1,0.01
05095,2022,1,0.00023999999999999998
05096,2023,1,6e-06
05101,2017,1,0.1003
05102,2011,1,0.049999999999999996
05102,2023,1,0.029316
05103,2022,1,0.001
05103,2023,1,0.0040999999999999995
05104,2022,2,0.0033
05106,2019,2,0.007
05106,2021,1,9.999999999999999e-06
05108,2017,1,0.14479999999999998
05108,2023,1,0.0038
05110,2012,1,0.0005
05111,2009,1,0.00039999999999999996
05111,2018,2,0.04008
05113,2019,1,9.999999999999999e-06
05114,2023,1,9.999999999999999e-05
05115,2020,1,0.0096
05116,2008,1,0.3
05116,2023,1,0.011099999999999999
05117,2023,2,0.026904
05119,2009,1,4.9999999999999996e-05
05119,2020,1,0.0007
05122,2017,1,4.4e-05
05122,2022,1,0.001
05123,2019,1,0.07039999999999999
05124,2022,1,0.000208
05126,2012,1,0.003
05126,2020,1,0.002
05126,2021,1,1e-06
05127,2020,1,0.0012
05128,2017,2,0.0155
05128,2019,2,0.012
05128,2020,1,0.0005
05129,2016,2,0.0042
05129,2017,1,0.02
05130,2019,1,0.02
05131,2021,1,9.999999999999999e-05
05132,2022,1,0.00039999999999999996
05132,2023,1,0.0126
05133,2023,1,4.9999999999999996e-06
05134,2012,1,0.00019999999999999998
05136,2008,1,0.0003
05138,2019,1,0.0234
05140,2022,1,0.0007
05141,2012,1,0.0006
05141,2021,1,0.0012
05141,2022,2,0.051138
05142,2019,1,0.0848
05143,2012,1,0.00912
05145,2011,1,0.003
05145,2023,1,0.0013
05146,2012,2,0.001487
05147,2022,1,0.035699999999999996
05151,2017,1,0.0012
05156,2009,1,0.005
05157,2012,1,0.00039999999999999996
05159,2023,1,1e-06
05160,2019,2,0.019
05161,2022,1,0.001
05162,2013,1,0.01
05164,2016,2,0.12
05164,2017,2,0.008450000000000001
05164,2018,1,0.00031
05164,2020,1,9.999999999999999e-06
05164,2021,1,0.017499999999999998
05165,2007,1,0.03
05165,2018,1,0.0006
05166,2012,1,0.0292
05166,2014,1,0.04
05166,2022,1,0.0015
05168,2018,1,0.0014
05168,2019,1,0.0007
05172,2017,1,0.0021999999999999997
05172,2020,1,0.0411
05173,2022,1,0.0062
05173,2023,1,1.9999999999999998e-05
05174,2019,3,0.00153
05174,2023,1,0.00023999999999999998
05176,2012,1,9.999999999999999e-05
05176,2023,1,2e-06
05178,2017,2,0.0065
05178,2020,1,0.04
05178,2023,1,0.01
05179,2006,2,0.030005
05179,2008,1,0.02
05179,2019,1,1.9999999999999998e-05
05180,2007,1,0.001
05181,2017,1,0.0026999999999999997
05182,2023,2,0.0010040000000000001
05183,2017,1,0.01
05183,2018,1,0.00015
05184,2013,1,0.01
06001,2007,1,0.018
06001,2019,1,0.0005
06001,2023,1,0.001
06002,2006,1,0.003
06002,2020,1,0.001
06002,2022,1,0.12
06003,2007,1,0.005
06003,2008,1,0.003
06003,2010,1,0.001
06003,2016,2,0.004432
06003,2017,2,0.0059299999999999995
06003,2019,1,1.9999999999999998e-05
06003,2022,1,0.00085
06003,2023,1,0.015
06004,2007,5,0.109953
06004,2008,1,9.999999999999999e-05
06004,2009,1,0.0006
06004,2021,1,0.0003
06005,2008,2,0.223
06005,2019,1,0.00039999999999999996
06005,2022,2,0.004
06006,2006,3,0.41459999999999997
06006,2007,2,0.0006999999999999999
06006,2008,1,0.0005
06006,2009,1,0.001
06006,2011,2,0.014695999999999999
06006,2013,1,0.040299999999999996
06006,2014,1,0.0005
06006,2022,1,4.9999999999999996e-05
06007,2006,1,0.0005
06007,2007,2,0.0036999999999999997
